Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Ryan Griffin,HOU,TE,79.2,16,5.0,2.7,1.0,9.2,6.9,1.8,4.6,2.3,4.9,,8.2,4.7,5.6,9.5,3.3,12.5,0.0,2.0
Doug Martin,TB,RB,78.5,8,9.8,12.1,2.3,,,,,,,,11.1,12.0,8.0,13.3,15.5,4.2,,
Chicago Bears,CHI,DST,78.0,16,4.9,4.0,1.0,1.0,7.0,4.0,7.0,11.0,9.0,,5.0,0.0,0.0,15.0,14.0,3.0,-4.0,1.0
Jermaine Kearse,SEA,WR,77.5,16,4.8,8.2,2.1,2.1,3.8,,5.0,6.6,7.7,4.6,3.6,3.9,2.3,9.3,1.2,0.0,11.7,5.4
Cody Kessler,CLE,QB,76.9,9,8.5,,,9.7,11.1,6.5,21.7,3.1,,13.2,7.9,3.3,,,,,0.4,
Corey Coleman,CLE,WR,76.8,10,7.7,7.9,24.9,,,,,,,5.6,3.2,5.9,11.3,,4.2,3.9,2.5,7.4
DeAndre Washington,LV,RB,76.7,14,5.5,2.9,5.7,6.7,4.1,7.7,4.9,2.7,3.2,4.0,,0.0,,,0.0,3.9,24.2,6.7
Kendall Wright,TEN,WR,75.6,11,6.9,,,,2.4,1.4,23.3,2.2,17.9,7.4,7.8,7.2,0.0,,,2.9,3.1,
Marquise Goodwin,BUF,WR,75.6,15,5.0,0.0,18.2,1.1,1.7,8.3,3.2,17.3,,6.3,,2.5,2.3,5.5,0.0,5.8,2.1,1.3
Vance McDonald,SF,TE,75.1,11,6.8,8.4,14.0,1.4,,,3.5,2.9,,15.9,7.0,12.1,8.0,1.9,0.0,,,
Chris Conley,KC,WR,75.0,16,4.7,6.3,2.5,5.9,10.0,,4.1,3.9,7.4,4.3,1.7,4.8,4.1,0.0,8.0,2.1,2.4,7.5
Devin Funchess,CAR,WR,74.6,15,5.0,1.4,8.9,0.0,6.6,0.0,11.8,,5.3,3.3,13.1,4.2,2.9,5.4,10.3,0.0,1.4,
Travaris Cadet,NO,RB,74.0,15,4.9,9.0,2.7,6.2,0.0,,5.0,1.7,1.2,0.9,3.6,,0.0,7.8,4.9,13.1,8.6,9.3
Blaine Gabbert,SF,QB,73.2,6,12.2,14.0,20.7,5.0,12.5,19.5,,,,,,,,1.5,,,,
Detroit Lions,DET,DST,73.0,16,4.6,0.0,8.0,1.0,3.0,7.0,2.0,7.0,6.0,4.0,,13.0,6.0,11.0,5.0,3.0,-3.0,0.0
Matt Barkley,CHI,QB,71.3,7,10.2,,,,,,,-0.9,,,,,20.6,8.0,12.5,14.5,10.9,5.7
Matt Jones,WAS,RB,71.3,7,10.2,3.8,13.0,8.9,20.8,4.6,19.5,0.7,,,,,,,,,,
Jesse James,PIT,TE,71.3,16,4.5,5.6,10.4,2.0,8.5,13.3,2.3,2.8,,2.3,7.9,1.0,0.0,4.7,1.0,0.0,6.9,2.6
Clive Walford,LV,TE,70.4,15,4.7,4.0,14.0,3.7,3.3,,3.5,1.0,4.6,2.3,,3.8,11.8,2.3,3.1,1.8,9.0,2.2
Nelson Agholor,PHI,WR,69.9,15,4.7,13.7,6.2,3.6,,4.2,4.9,2.0,4.0,6.1,1.7,2.0,,4.7,3.2,1.5,12.2,-0.1
Jermaine Gresham,ARI,TE,69.6,16,4.4,6.1,0.0,0.0,0.0,0.9,1.9,2.5,4.7,,5.8,10.3,12.0,7.7,7.0,5.7,5.0,0.0
Will Tye,NYG,TE,69.5,16,4.3,3.1,2.0,2.9,6.3,4.7,2.5,2.4,,5.3,7.8,8.2,2.2,3.2,2.9,4.5,4.8,6.7
